cz2000_res,workplaceemp,resemp,workplacewage,resWage,emplAround,workplaceWageAround,resAround,resWageAround,landArea,lambda_nn_n,pd_commuting,pd_migration,pd_goods,pd_commuting_goods,pd_migration_goods,productivity,deficit
267,33108,33791.45,36019.84,36109.49,139383.,35978.997402265704,138989.72,36004.15997537875,7405.908,0.9053503179058608,0.16209267338393643,0.836409338576958,0.9992690699577362,0.16197419497932927,0.8357979818637621,0.9686837191066464,-272.05909999999994
268,116110,116830,34742.04,35078.44,505126.,40030.183173247875,502660.05000000005,39914.99855663742,13232.37,0.9211940426260378,0.1434397152216759,0.8532621637317159,0.9975661668494735,0.1430906068876673,0.8511854659915358,0.8457177173047361,312.52850000000035
269,72887,71816.38,33918.7,34021.85,533800.,37224.86067832522,720061.41,44042.81687969489,9243.07,0.9248920650135802,0.15629694949141038,0.8424908270145033,0.9982490684959994,0.15602328423856668,0.8410156832836521,0.8175077612353996,582.7129
270,191094,190561.4,37318.36,37323.61,96726.,40555.550630750775,96498.401,40577.34570318932,15937.38,0.987032001234248,0.02777992386014774,0.9704709423591593,0.9617729347928952,0.026717978899297463,0.9333726863639953,0.9603923429192727,1992.7549999999992
271,96331,95888.7,35709.24,35722.65,46471.,32500.07264810312,46029.56,32836.96760690956,22759.49,0.9748662772568614,0.05340304294296896,0.9454808798372593,0.9888745984298659,0.05280891264516131,0.9349620253721861,1.139601469535085,339.35390000000007
272,159455,165920.8,36388.64,36700.74,2.442042e6,46525.91022699036,2.4050915800000005e6,46504.47903807522,7601.8,0.8996322341743772,0.1573122561618769,0.8413262584883264,0.9970674960418259,0.15685093734801292,0.8388590659051935,0.8144736570250197,1129.2600000000002
273,21923,21653.16,40211.56,40683.12,217149.,38542.17905507279,217686.235,38491.06188022868,11886.18,0.9343698564089492,0.13690962639503687,0.8621885922035626,0.9995834001784907,0.1368525898691178,0.8618294045899432,1.1137880851891964,246.81460000000004
274,18042,17844.99,38455.88,38425.95,30389.,41408.899999999994,30476.65,41430.07,15386.62,0.9933953451360858,0.02392555902701132,0.9759599761470947,0.9993364433026503,0.02390968306208111,0.9753123713685771,1.1351771163081978,10.838150000000041
275,63769,64372.39,35096.38,35233.28,267217.,37032.123254658196,267886.7,37126.929545189065,9226.379,0.94400254519057,0.0995870660517177,0.8992349689342725,0.9987501509047064,0.09946259724731002,0.8981110609218936,0.8611996542298535,172.96079999999984
276,50513,50588.41,38036.45,37967.65,11437.,32125.03,11369.1,32417.75,16660.64,0.9821737824928674,0.03376018405393978,0.9658291729308004,0.9824710332360642,0.033168402909713915,0.9488991854588568,1.3089477156332219,228.3780999999999
277,245820,285567.1,36195.32,37564.62,1.351235e6,44554.45,1.279077e6,44537.66,4108.996,0.8256185674049987,0.20794402705504916,0.7905515776788284,0.9818015226818058,0.20415976239523387,0.7761647427235776,0.8848546261739431,349.97689999999966
278,27379,28210.28,29980.71,31958.7,4.225624e6,49622.106221952075,4.1498343000000003e6,49526.88239993833,4167.97,0.7244837697463479,0.45572812746290287,0.5406993654661594,0.9997610948898052,0.4556192516843925,0.5405701896246704,0.6345300782419464,208.35759999999993
279,28216,28460.16,32021.69,32134.18,73001.,31412.802247640444,72704.73999999999,31618.568760232145,9783.093,0.9376834142886055,0.11253874126420502,0.886710154271497,0.9997915276862812,0.11251528005243067,0.886525299754038,0.8299746826168392,57.37406999999996
280,36128,38256.91,36059.23,37225.18,686772.,44274.39457330818,695811.3400000001,44292.37967909347,3260.277,0.8463127314777905,0.24055253632684934,0.7582712857952546,0.9989426210108056,0.2402981811291399,0.7574695056695453,0.8386137112497608,106.59629999999993
281,788701,862512.6,46851.91,48261.85,270188.,39815.48833404888,269784.72,40050.98121531791,13457.46,0.8520753204069135,0.20486212460075892,0.789892231483,0.9614993436301391,0.19697479833830547,0.7594808621094504,1.274134859451875,-523.3871999999974
