vector_number,cf_w,cf_hatL,cf_hatR,diag_cf_λ,real_v,shock,non_demean_shock
1041,0.11915575225938113,-0.4136837696918083,0.3428958415883976,-2.730980936596239,0.3457369121820708,0.0019998001482939287,1.008292257726698
1043,0.12905017390547613,-0.9438630857332209,-0.13292454829713085,-1.744983429292879,0.4213659948124837,-0.001035304179273,1.005257153399131
1045,0.1205648321368491,0.904593234510287,0.8528470814085809,-2.6474290663000444,-0.5800884316793042,0.0017339227781678623,1.0080263803565719
1047,0.12239580804753736,-0.4087058213358863,-0.36647674257797025,-0.8338711893812301,0.13084690566917967,-0.003812429264496764,1.0024800283139073
1049,0.13780911323773015,-0.6350808008143027,-0.01886457340650738,-1.6157473734954908,0.19135648726507082,-0.0014449917912486843,1.0048474657871553
1051,0.14012427496288282,-0.6054413825611116,0.8848762912986752,-4.17853059077431,0.6001072062253421,0.006732316591946619,1.0130247741703506
1053,0.11233419608256412,0.09998794179064685,-0.16703908924343702,-1.275538592731329,0.05679675542367146,-0.0024705456594431574,1.0038219119189609
1055,0.13647028975580788,-0.5528926801504297,0.013499337954803181,-1.6293113681270954,0.12784453455298994,-0.001408056099424737,1.0048844014789793
1057,0.12267460169665956,-0.6753274570551193,0.2974222292535744,-2.770057719907182,0.4611477501312189,0.0021102605129954544,1.0084027180913995
1059,0.12796467869393702,-0.3037885067845081,0.2989710066710227,-2.4784227128835656,0.2542152136755904,0.0011937558236803092,1.0074862134020843
1061,0.12074843063025753,-1.3418158992420604,0.4577196525844762,-3.2655115302630766,0.5380774430050472,0.00367575727700431,1.0099682148554083
1063,0.12087518995902435,-0.049856237009837656,0.3025152441130441,-2.645134684951189,0.34296821209693906,0.0017266297997651225,1.0080190873781691
1065,0.1227295273663831,-1.2394406198061647,0.5006526718626114,-3.1082754362105947,0.3601726149460083,0.0031823276828260028,1.00947478526123
1067,0.12350119292521278,-0.5388234439533846,0.6825943263008893,-3.5332365121565568,0.3992530222864499,0.004534235612793092,1.0108266931911971
1069,0.11254150608381863,0.27932938157140264,-0.3492696531726569,-0.9053549875847389,0.14239284185915135,-0.0036113528669869943,1.002681104711417
1071,0.13344949092941594,-0.857105736316488,0.015086468644631701,-1.949130625113682,0.37602288359206426,-0.00041611890180370814,1.0058763386766003
1073,0.10017969889997147,0.33260111154720384,-0.3273796944683549,-0.6660668370444323,-0.06030856379718452,-0.0043503846590742246,1.0019420729193298
1075,0.12331603469362129,-0.6037539711237994,0.41602855593936283,-2.7707419683382306,0.2534867193961565,0.002109097938021609,1.0084015555164256
1077,0.13053660527684308,-0.48616844163895667,0.004789877323774228,-1.9974887210025716,0.3981521208707983,-0.0002834415986776584,1.0060090159797264
1079,0.1320590365990526,-0.8706183684348168,0.8392376029265236,-3.9228863356499,0.4477249697986352,0.005760958644974279,1.0120534162233783
1081,0.1380807966490316,-0.7024050032580553,0.09623141196513085,-2.0274761400698837,0.2929292995531352,-0.00016714509299275981,1.0061253124854113
1083,0.13105643153770163,-0.18454467343061998,0.3125042148625967,-2.942318913892039,0.607164604686572,0.0027148462067574375,1.0090073037851615
1085,0.12198752276608715,1.0654789297086298,0.9362526446806463,-3.9864088316374557,0.31221507653103053,0.006012069227323336,1.0123045268057274
1087,0.1318778920291308,0.33796335510105635,0.6825705591021469,-3.336004537855264,0.2825954070575065,0.0038911425102181596,1.0101836000886222
1089,0.10747672014961296,0.3599097592281275,-0.46921413008513824,-0.33510279530346576,-0.049579976629032796,-0.005312744357512056,1.000979713220892
1091,0.11916715942854594,-0.13575589937039334,0.15312448864710504,-1.9072120295871353,0.027606865038487527,-0.0005601389054634698,1.0057323186729406
1093,0.12551817382029373,0.12787855016169747,0.2120398024125114,-1.9976015260706026,0.026178254471020956,-0.0002865017950390847,1.006005955783365
1095,0.1325217901826603,-0.019573811510498196,-0.08680703858903183,-1.89779961286215,0.5055413354848826,-0.0005577149506508228,1.0057347426277532
1097,0.0839623641244458,-0.3399154062487031,-0.5186100346333267,-0.5072290584971717,-0.043711118625100465,-0.004804169812578474,1.0014882877658255
1099,0.1146515324666364,-0.32551327019272325,-0.20438568852980676,-0.9992569921586703,-0.06375305603915082,-0.0033184152190777194,1.0029740423593263
1101,0.10654451276239651,0.5429271812301018,-0.3775734419100063,-0.5017754858826162,-0.07283260808910175,-0.004826161628444847,1.0014662959499592
1103,0.12835387983995972,0.06995365351758487,0.20703590302280084,-2.2421077074577633,0.23867414671030485,0.000501089049421477,1.0067935466278255
