ALAND,GEOID
834304554,13151
972645761,13153
917743923,13155
879722928,13157
953542690,13159
856613114,13161
1363589314,13163
899448996,13165
784793399,13167
1020281755,13169
475262611,13171
479824426,13173
2090886200,13175
921475641,13177
1268578765,13179
544880697,13181
1036755278,13183
1284805506,13185
732793111,13187
666820495,13189
1098929183,13191
1037654091,13193
731181736,13195
947944161,13197
1298161653,13199
731466754,13201
1326293194,13205
1024750743,13207
620362830,13209
899630975,13211
892163642,13213
560435436,13215
704894510,13217
477308229,13219
1137034709,13221
808643215,13223
389190656,13225
601025731,13227
819714945,13229
559659405,13231
803754838,13233
644987096,13235
892610760,13237
391703085,13239
958276574,13241
1109126837,13243
840000029,13245
336161686,13247
432283853,13249
1670803650,13251
609232736,13253
508851760,13255
463948106,13257
1188113818,13259
1250179595,13261
1013691766,13263
504031776,13265
1241648097,13267
975612230,13269
1132610545,13271
868783601,13273
1410495980,13275
670585617,13277
942767920,13279
431395530,13281
516536589,13283
1072223976,13285
739164599,13287
928246376,13289
833785120,13291
837697129,13293
1156117093,13295
843508113,13297
2311462171,13299
736328597,13301
1757182927,13303
1662194319,13305
541613654,13307
765301286,13309
623374958,13311
752297142,13313
978250169,13315
1215973866,13317
1158522024,13319
1478111101,13321
10433550395,15001
1555917151,15003
31057797,15005
1605678326,15007
3008326306,15009
2726158067,16001
3530298662,16003
2880035137,16005
2524680722,16007
2011429331,16009
5423378296,16011
6846856430,16013
4919000288,16015
4492523343,16017
4833116989,16019
3285556291,16021
5779990424,16023
2782925142,16025
1521281478,16027
4569116224,16029
6643528786,16031
4569218695,16033
6364309391,16035
12745176171,16037
7963533304,16039
1718831658,16041
4826508353,16043
1452724628,16045
1888031360,16047
21956239945,16049
2832154816,16051
1546700901,16053
3222267856,16055
2786815890,16057
11819118494,16059
1240073685,16061
3111625420,16063
1215237613,16065
1962152486,16067
2196547487,16069
3108143349,16071
19853582270,16073
1053780320,16075
3636974257,16077
6810799882,16079
1164084404,16081
4975917336,16083
9491050481,16085
3763204795,16087
2214963578,17001
609965908,17003
984918676,17005
727059777,17007
791518279,17009
2250780454,17011
657402816,17013
1152045333,17015
973365036,17017
2580316235,17019
1837278793,17021
1298666494,17023
1212932408,17025
1227874498,17027
1316466333,17029
2448383588,17031
1148994475,17033
896198602,17035
1635077221,17037
1029554715,17039
1079156495,17041
848218379,17043
1614531997,17045
576054180,17047
1240027936,17049
1855679809,17051
1257738509,17053
1059017642,17055
2241880276,17057
836750424,17059
1406413796,17061
1082725907,17063
1125777456,17065
2055740516,17067
459794312,17069
981273730,17071
2131522072,17073
2893835594,17075
1512763725,17077
1280774187,17079
1479320495,17081
956408129,17083
1556808594,17085
890735754,17087
1346943286,17089
1752271023,17091
829664827,17093
1855453788,17095
1149099822,17097
2939957539,17099
963936870,17101
1877472815,17103
2704686611,17105
1600764560,17107
1526558259,17109
1562206475,17111
3064933852,17113
1503976676,17115
2234917323,17117
1853347576,17119
1482413602,17121
1001778707,17123
1396619128,17125
614390561,17127
814388302,17129
1453506907,17131
997173442,17133
1822539599,17135
1473161231,17137
870088946,17139
1964698351,17141
1603744994,17143
1144154902,17145
1137528578,17147
2153268105,17149
955110060,17151
515886434,17153
414813807,17155
1490537612,17157
932370871,17159
1107573369,17161
1703588508,17163
983725654,17165
2248892510,17167
1132531106,17169
649861251,17171
1964565410,17173
746121703,17175
1462107736,17177
1680835450,17179
1070854490,17181
2326763569,17183
578218989,17185
1404823508,17187
1457055371,17189
1848769796,17191
1281438823,17193
1772198878,17195
2167580722,17197
1088181449,17199
1329601795,17201
1366993724,17203
878079128,18001
1702419942,18003
1053886348,18005
1052616479,18007
427554649,18009
1095338966,18011
808026819,18013
964055949,18015
1067475860,18017
965691140,18019
926029234,18021
1049126443,18023
791610951,18025
1112366267,18027
790033471,18029
964946111,18031
939710824,18033
1015596276,18035
1106622334,18037
1199605640,18039
556883990,18041
383149241,18043
1024743543,18045
995668709,18047
954121481,18049
1262582226,18051
1072446955,18053
1405055007,18055
1021147705,18057
792577692,18059
1254889451,18061
1053895149,18063
1014954691,18065
759012945,18067
991061319,18069
