D_n,state_county_res
-81.58302193828351,13279
-81.58302193828351,13281
-81.58302193828351,13283
-81.58302193828351,13285
-81.58302193828351,13287
-81.58302193828351,13289
-81.58302193828351,13291
-81.58302193828351,13293
-81.58302193828351,13295
-81.58302193828351,13297
-81.58302193828351,13299
-81.58302193828351,13301
-81.58302193828351,13303
-81.58302193828351,13305
-81.58302193828351,13307
-81.58302193828351,13309
-81.58302193828351,13311
-81.58302193828351,13313
-81.58302193828351,13315
-81.58302193828351,13317
-81.58302193828351,13319
-81.58302193828351,13321
-81.58302193828351,15001
-81.58302193828351,15003
-81.58302193828351,15007
-81.58302193828351,15901
-81.58302193828351,16001
-81.58302193828351,16003
-81.58302193828351,16005
-81.58302193828351,16007
-81.58302193828351,16009
-81.58302193828351,16011
-81.58302193828351,16013
-81.58302193828351,16015
-81.58302193828351,16017
-81.58302193828351,16019
-81.58302193828351,16021
-81.58302193828351,16023
-81.58302193828351,16025
-81.58302193828351,16027
-81.58302193828351,16029
-81.58302193828351,16031
-81.58302193828351,16033
-81.58302193828351,16035
-81.58302193828351,16037
-81.58302193828351,16039
-81.58302193828351,16041
-81.58302193828351,16043
-81.58302193828351,16045
-81.58302193828351,16047
-81.58302193828351,16049
-81.58302193828351,16051
-81.58302193828351,16053
-81.58302193828351,16055
-81.58302193828351,16057
-81.58302193828351,16059
-81.58302193828351,16061
-81.58302193828351,16063
-81.58302193828351,16065
-81.58302193828351,16067
-81.58302193828351,16069
-81.58302193828351,16071
-81.58302193828351,16073
-81.58302193828351,16075
-81.58302193828351,16077
-81.58302193828351,16079
-81.58302193828351,16081
-81.58302193828351,16083
-81.58302193828351,16085
-81.58302193828351,16087
-81.58302193828351,17001
-81.58302193828351,17003
-81.58302193828351,17005
-81.58302193828351,17007
-81.58302193828351,17009
-81.58302193828351,17011
-81.58302193828351,17013
-81.58302193828351,17015
-81.58302193828351,17017
-81.58302193828351,17019
-81.58302193828351,17021
-81.58302193828351,17023
-81.58302193828351,17025
-81.58302193828351,17027
-81.58302193828351,17029
-81.58302193828351,17031
-81.58302193828351,17033
-81.58302193828351,17035
-81.58302193828351,17037
-81.58302193828351,17039
-81.58302193828351,17041
-81.58302193828351,17043
-81.58302193828351,17045
-81.58302193828351,17047
-81.58302193828351,17049
-81.58302193828351,17051
-81.58302193828351,17053
-81.58302193828351,17055
-81.58302193828351,17057
-81.58302193828351,17059
-81.58302193828351,17061
-81.58302193828351,17063
-81.58302193828351,17065
-81.58302193828351,17067
-81.58302193828351,17069
-81.58302193828351,17071
-81.58302193828351,17073
-81.58302193828351,17075
-81.58302193828351,17077
-81.58302193828351,17079
-81.58302193828351,17081
-81.58302193828351,17083
-81.58302193828351,17085
-81.58302193828351,17087
-81.58302193828351,17089
-81.58302193828351,17091
-81.58302193828351,17093
-81.58302193828351,17095
-81.58302193828351,17097
-81.58302193828351,17099
-81.58302193828351,17101
-81.58302193828351,17103
-81.58302193828351,17105
-81.58302193828351,17107
-81.58302193828351,17109
-81.58302193828351,17111
-81.58302193828351,17113
-81.58302193828351,17115
-81.58302193828351,17117
-81.58302193828351,17119
-81.58302193828351,17121
-81.58302193828351,17123
-81.58302193828351,17125
-81.58302193828351,17127
-81.58302193828351,17129
-81.58302193828351,17131
-81.58302193828351,17133
-81.58302193828351,17135
-81.58302193828351,17137
-81.58302193828351,17139
-81.58302193828351,17141
-81.58302193828351,17143
-81.58302193828351,17145
-81.58302193828351,17147
-81.58302193828351,17149
-81.58302193828351,17151
-81.58302193828351,17153
-81.58302193828351,17155
-81.58302193828351,17157
-81.58302193828351,17159
-81.58302193828351,17161
-81.58302193828351,17163
-81.58302193828351,17165
-81.58302193828351,17167
-81.58302193828351,17169
-81.58302193828351,17171
-81.58302193828351,17173
-81.58302193828351,17175
-81.58302193828351,17177
-81.58302193828351,17179
-81.58302193828351,17181
-81.58302193828351,17183
-81.58302193828351,17185
-81.58302193828351,17187
-81.58302193828351,17189
-81.58302193828351,17191
-81.58302193828351,17193
-81.58302193828351,17195
-81.58302193828351,17197
-81.58302193828351,17199
-81.58302193828351,17201
-81.58302193828351,17203
-81.58302193828351,18001
-81.58302193828351,18003
-81.58302193828351,18005
-81.58302193828351,18007
-81.58302193828351,18009
-81.58302193828351,18011
-81.58302193828351,18013
-81.58302193828351,18015
-81.58302193828351,18017
-81.58302193828351,18019
-81.58302193828351,18021
-81.58302193828351,18023
-81.58302193828351,18025
-81.58302193828351,18027
-81.58302193828351,18029
-81.58302193828351,18031
-81.58302193828351,18033
-81.58302193828351,18035
-81.58302193828351,18037
-81.58302193828351,18039
-81.58302193828351,18041
-81.58302193828351,18043
-81.58302193828351,18045
-81.58302193828351,18047
-81.58302193828351,18049
-81.58302193828351,18051
-81.58302193828351,18053
-81.58302193828351,18055
-81.58302193828351,18057
-81.58302193828351,18059
-81.58302193828351,18061
-81.58302193828351,18063
-81.58302193828351,18065
-81.58302193828351,18067
-81.58302193828351,18069
-81.58302193828351,18071
-81.58302193828351,18073
-81.58302193828351,18075
-81.58302193828351,18077
-81.58302193828351,18079
-81.58302193828351,18081
-81.58302193828351,18083
-81.58302193828351,18085
-81.58302193828351,18087
-81.58302193828351,18089
-81.58302193828351,18091
-81.58302193828351,18093
-81.58302193828351,18095
-81.58302193828351,18097
-81.58302193828351,18099
-81.58302193828351,18101
-81.58302193828351,18103
-81.58302193828351,18105
-81.58302193828351,18107
-81.58302193828351,18109
-81.58302193828351,18111
-81.58302193828351,18113
-81.58302193828351,18115
-81.58302193828351,18117
-81.58302193828351,18119
-81.58302193828351,18121
-81.58302193828351,18123
-81.58302193828351,18125
-81.58302193828351,18127
-81.58302193828351,18129
-81.58302193828351,18131
-81.58302193828351,18133
-81.58302193828351,18135
-81.58302193828351,18137
-81.58302193828351,18139
-81.58302193828351,18141
-81.58302193828351,18143
-81.58302193828351,18145
-81.58302193828351,18147
-81.58302193828351,18149
-81.58302193828351,18151
-81.58302193828351,18153
-81.58302193828351,18155
-81.58302193828351,18157
-81.58302193828351,18159
-81.58302193828351,18161
-81.58302193828351,18163
-81.58302193828351,18165
-81.58302193828351,18167
-81.58302193828351,18169
-81.58302193828351,18171
-81.58302193828351,18173
-81.58302193828351,18175
-81.58302193828351,18177
-81.58302193828351,18179
-81.58302193828351,18181
-81.58302193828351,18183
-81.58302193828351,19001
-81.58302193828351,19003
-81.58302193828351,19005
-81.58302193828351,19007
-81.58302193828351,19009
-81.58302193828351,19011
-81.58302193828351,19013
-81.58302193828351,19015
-81.58302193828351,19017
-81.58302193828351,19019
-81.58302193828351,19021
-81.58302193828351,19023
-81.58302193828351,19025
-81.58302193828351,19027
-81.58302193828351,19029
-81.58302193828351,19031
-81.58302193828351,19033
-81.58302193828351,19035
-81.58302193828351,19037
-81.58302193828351,19039
-81.58302193828351,19041
-81.58302193828351,19043
-81.58302193828351,19045
-81.58302193828351,19047
-81.58302193828351,19049
-81.58302193828351,19051
-81.58302193828351,19053
-81.58302193828351,19055
-81.58302193828351,19057
-81.58302193828351,19059
-81.58302193828351,19061
-81.58302193828351,19063
-81.58302193828351,19065
-81.58302193828351,19067
-81.58302193828351,19069
-81.58302193828351,19071
-81.58302193828351,19073
-81.58302193828351,19075
-81.58302193828351,19077
-81.58302193828351,19079
-81.58302193828351,19081
-81.58302193828351,19083
-81.58302193828351,19085
