vector_number,old_w,cf_hatL,cf_hatR,diag_old_λ,real_v
4001,-0.054984020327086824,-1.2303813409921815,-1.173971922799022,-1.2089077980783847,-0.07284546737020836
4003,-0.06428864399603551,-1.1306316160849428,-1.1082134755812878,-1.1238348968947265,-0.08322803404771095
4005,-0.05930343857953879,-0.2642521153813582,-0.2642521153813582,-0.26425206592940453,-0.0909603531623393
4007,-0.07071506689272367,-0.47128681842162345,-0.44349375274930214,-0.45948417064771707,-0.09832405246872344
4009,-0.05816176273505391,1.5627969020807875,1.0393041985022,1.5172001936542223,-0.2605635643087467
4011,-0.05550977547726932,-1.3508946003403133,-0.6822962499211438,-0.8703435659525471,-0.1261543952737365
4012,-0.09191949339640848,0.8372494568495759,0.8235766801412359,0.8316951940637418,-0.15525604126495063
4013,-0.10402478763700262,-0.7128589259616014,-0.6961829439644296,-0.6986538394652131,-0.16862682663250084
4015,-0.07695032279373404,-0.463909982491717,-0.463909982491717,-0.4639085387109887,-0.13067908483518353
4017,-0.059105026355510404,-1.026744379005362,-1.0443878321453104,-1.0332781717711237,-0.08528592176458849
4019,-0.03939464805680082,0.2096329275877773,0.220582199599062,0.21170513670338842,-0.03949466716962613
4021,-0.06670113035622816,1.3060006220377174,0.31222085352116125,1.273860841875596,-0.1734079197655891
4023,-0.031167618779015527,2.8061793895308274,2.5213554891752032,2.669387480827723,-0.0040637932369080865
4025,-0.08109878111737245,-0.7390227002027072,-0.7390227002027072,-0.7390227169809638,-0.13605992637176767
4027,-0.08947477673720838,-0.43937655486553373,-0.43798518561103394,-0.43893053249730585,-0.1500955363893941
5001,-0.015149782004231227,-0.9379412738582227,-0.7379078262423122,-0.8417054810195723,0.021340427196281375
5003,-0.008352944821532482,1.0948158275018383,0.7560481527220997,0.9878054502655775,0.06584932404831711
5005,-0.00988482227766152,-0.18226041302060736,-0.00965154255835321,-0.13331088410506453,0.021364639373455674
5007,0.014303448135888353,2.014630571552223,1.0369177497577597,1.7259585177417103,0.1781011660143994
5009,-0.003400554741928019,1.099198358523057,0.863004156403635,1.0557390606434902,0.06079747660643342
5011,-0.009691080494766968,1.6595906400584504,1.0815318478153868,1.4461244560526332,-0.008052333946195755
5013,-0.010934397877448987,0.6510337476318462,0.4534008676027712,0.516288260737019,-0.005812189173870497
5015,-0.0016149819878519267,1.1874973503037234,0.9686365637641581,1.1115741952249847,0.04210142016016771
5017,-0.010109757865950364,-1.31861429971043,-0.40442825047861675,-1.0385845028034524,0.028194190574470923
5019,-0.010762008525400102,2.0498070006320868,1.1755754419005005,1.6812806122429302,0.024658088672335765
5021,-0.016182170854572853,0.037153307854276285,0.05633041481063472,0.04833771741914461,0.009773383043820694
5023,-0.007684940512486804,2.2345959024182127,1.369220866322407,2.0614033290990985,-0.15213009875291172
5025,-0.013503672778703013,0.4672896512608382,0.1900967974884482,0.4985668706096069,-0.11771169823976413
5027,-0.005986599093787959,1.3435917065638625,0.9343481224079353,1.1708541354262358,0.05766656460759467
5029,-0.010214039054479152,-0.17672483052384447,-0.000349356621320851,0.06940652037208395,0.03191894905707482
5031,-0.022832431217612026,-0.7430370362899064,-0.5841254286301445,-0.6593473016743401,-0.006998455234896728
5033,-0.006054121383614053,4.835395607140391,1.308913693313829,4.367027807389179,-0.39424441491968665
5035,-0.01839746607413817,-0.09869434774463226,0.012308177625675043,-0.0064457474025725325,-0.00015428200763611954
5037,-0.013232304932409011,0.5770828652000626,0.8845670034946185,0.5701472224702631,0.0464234521651008
5039,-0.012459612785087337,1.9911510562391266,0.974494918120139,1.6668982871876459,-0.019091556144368305
5041,-0.008041974682337916,2.5647163234524983,1.4420006596605361,2.175797545368674,0.0329236841757341
5043,-0.010334302534997786,-0.11502790895600024,0.28148079326055786,-0.04703683561002592,0.036436972156983494
5045,-0.019474154016130285,-1.418333355109369,-0.6156224393493614,-1.2641358754686305,0.11813950683747798
5047,-0.010986068127238902,-0.8118835372882494,-0.47837252883031756,-0.7550398770501898,-0.0005260834821108062
5049,-0.012019421296827204,-1.4545232254038698,-0.6035395294134216,-1.3592977707050036,0.0592500581917621
