vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,hatP,hatQ,real_v,L,R
17009,0.9998896486140545,0.9900585690845909,0.9965630805122511,0.9997305215530539,0.9931185370406463,0.9996170649656251,0.9962945282410308,1.0001135000505745,4050,2970.294
17011,0.999956149282015,0.9864086431372894,0.9950991395586093,1.0003185845703906,0.9882053229608979,0.999528746804429,0.9954161627904816,1.0007902101550223,18564,21637.52
17013,0.9998286288922495,0.9949237624089773,0.9991839912473052,1.000297376570874,0.9954693227825764,0.9996798283230535,0.9994811251562945,1.0006177460326038,1996,3139.308
17015,0.999979292305269,0.9972969101337329,1.0025353693717702,1.0002938225673839,0.9978059639237797,0.9994783524797654,1.0028299368878921,1.0008158956975859,7638,9840.964
17017,0.9999416478035519,0.9947901635660242,1.0031110662410665,1.0002302069849582,0.9961031280569517,0.9995224826983701,1.003341989415204,1.0007080623986342,8358,8311.537
17019,1.0000113632416627,1.0065765694753137,1.0071115865736615,0.9999586406613447,1.0070476754290667,0.9994377609004141,1.0070699331044888,1.0005211727846477,128046,117100.2
17021,0.9998531592135274,1.0027836686832132,1.0000222072375555,0.9995178318708485,1.0025430612210542,0.9996685373743769,0.9995400284007818,0.9998492445266666,16779,20348.47
17023,0.9998234791068153,1.011387593346447,1.001988444853761,0.9989369058962928,1.0104858702769082,0.9997017467501615,1.0009232368460543,0.9992349309618043,8017,10086.38
17025,0.9998244461278605,0.9983583480587279,0.9987071149647558,0.9998049610709598,0.9986461705934642,0.9996998217691468,0.9985123281986283,1.0001051708718192,8543,8159.666
17027,0.9997882673928437,0.993296570104438,0.9977629847951196,1.0007964546604091,0.9934963337256276,0.9997449749519914,0.9985576577743434,1.0010517479304841,18481,23781.48
17029,0.9998473326230131,0.9957012895188666,0.9974885980266887,0.9998929781446084,0.9964442371049655,0.999692006003184,0.9973818449461959,1.0002010340587077,34784,31558.76
17031,0.9999157460462478,0.9989456643431216,0.9999408610010464,0.9999309680822329,0.9992674396962173,0.9998342087593681,0.9998718331657578,1.000096775367373,3344392,3.111252e6
17033,0.9998230017887699,1.0032550016551112,1.00184019628068,0.999860019296539,1.0025401048260463,0.9996915664947019,1.001699957985249,1.0001685047743554,10849,10598.08
17035,0.9998383597537338,1.0044561310274172,1.000276288343263,0.999387788657038,1.0038475866912606,0.9996830382393131,0.9996639078534434,0.9997046568052259,4803,7584.383
17037,0.9999365613113435,0.9970977137902399,0.9987244623653437,1.0002633316931684,0.9976729179637165,0.9996478737398223,0.9989874581690271,1.0006156747485928,54445,66348.93
17039,0.9999007197202177,0.9984103353237509,0.9991240568617551,0.9996093315324872,0.9989385447901606,0.9996372943366405,0.9987337305976057,0.9999720270498993,7832,10607.12
17041,0.999900030603648,0.995257693473302,1.0002938163855222,1.0001642713681151,0.9951703399130833,0.9996214575997923,1.000458136019257,1.0005430193241611,12107,12884.58
17043,0.9999363862181108,1.004191441495415,1.0014475848423297,1.0000510112146281,1.0036298184559347,0.9994370471660062,1.0014986699000188,1.0006143098761076,737209,607976.9
17045,0.9998634952673618,0.9965754536242349,0.9996140192741172,0.9998079809246316,0.9970848366029653,0.9996602222331885,0.9994220743144109,1.0001478089136258,9016,10252.27
17047,0.9998116943958028,1.0320031003650434,1.0108020448663442,0.9979429488142264,1.0266045076216443,0.9996798810964458,1.0087227733213695,0.9982625115148718,4687,4323.365
17049,0.9998337030028543,0.999487187542919,0.9993550459680496,0.999794756845627,0.9994374068111682,0.9996869745253545,0.9991499351860765,1.0001078160694488,26410,21373.47
17051,0.9998402167766152,1.0076816155639365,1.0029569232194884,0.9992141331342035,1.0067897363732783,0.999668372654387,1.002168732605709,0.9995456097915978,9741,11477.07
17053,0.9999433979818686,1.0014189449306492,1.0044487822059334,0.9998001977142607,1.0021555556204518,0.9995519730921909,1.0042480910433405,1.0002483358832277,7773,9053.728
17055,0.9998124094483212,1.0020618260963279,0.9995154556642732,0.9995525376527564,1.001751825404983,0.9997044230425072,0.9990682101323755,0.9998480697031543,15213,20156.88
17057,0.9999924927903346,1.016504555466208,1.011824980517847,0.9998472164978358,1.0156774099429535,0.9994365663684667,1.0116703903537463,1.0004108816339004,13564,19111.4
17059,0.9998082358671136,0.9978728288988133,0.9982835680584641,0.9993282765677645,0.9983753707588159,0.9997213731258466,0.9976129975937835,0.9996067938841269,2241,2945.135
17061,0.999889516355336,0.9992639168196956,1.0079038504428637,1.001562985814694,0.9991529448900824,0.9996094598137665,1.0094791898636812,1.001954289229407,5011,8078.218
17063,1.000008794692716,1.0634542536311327,1.016625376971433,1.0002622009264535,1.0553636075728756,0.9993067881991455,1.016891937087131,1.0009560754901201,21819,27707.76
17065,0.9998137567019001,0.9977122150269635,0.9990773339758504,0.9998021140294794,0.997825909182441,0.9997088118000311,0.9988796305879915,1.00009332940587,3258,4761.558
17067,0.9998421702262055,0.9936247801767274,0.994092320434302,0.9997690716416563,0.9942134620210648,0.9996592896999603,0.993862756326702,1.0001098193582825,8996,12953.07
17069,0.9998191477173316,0.9968802208496909,0.9980011799466905,0.9996966338477625,0.9969831109834802,0.9997073580672569,0.9976984201688016,0.9999892726412307,1838,2167.953
17071,0.9998505638961863,0.9944062643670315,0.995658189435696,0.999530200319895,0.9954310786325078,0.9996436484739939,0.9951904295368051,0.9998865114040668,2654,4788.042
17073,0.9999718595744277,0.9920834962824808,0.9989332631788634,1.0014809720138618,0.992676167737824,0.9994998153222981,1.000412655385347,1.001982148131688,22765,31552.1
17075,0.9999289885298087,1.0134709317671766,1.0079542709612659,0.9993884269930788,1.0131931510648335,0.9995562192188696,1.0073378333369352,0.9998321332781843,14736,18752.44
17077,0.9998310389090104,1.0032322655892667,1.001392983836476,0.9997848254970362,1.0023034172109055,0.9996627492980934,1.0011775095989075,1.0001221173831158,37955,33083.41
17079,0.9998257768366506,0.9868139728423075,0.9954377613968336,1.0002947511956517,0.9878602559261487,0.999703710367377,0.9957311678672022,1.000591215999446,4250,6037.22
17081,0.9998227341914043,1.0005818036742755,1.0000474335855591,0.9998466731491091,1.0003023332044683,0.9996896583839368,0.999894099461826,1.0001570635085155,25910,20578.77
