w_i,state_county_work
40531.895,18107
34223.86,18109
36140.746,18111
33619.0,18113
29459.34,18115
32411.285,18117
31919.674,18119
28025.834,18121
34403.117,18123
41123.938,18125
41854.99,18127
47826.793,18129
36658.69,18131
33311.895,18133
33797.496,18135
43134.453,18137
37343.04,18139
45653.863,18141
32571.213,18143
38407.086,18145
36151.42,18147
29724.715,18149
32203.658,18151
33559.79,18153
31090.574,18155
43446.28,18157
35352.97,18159
28505.479,18161
45365.37,18163
45271.63,18165
40422.086,18167
33422.3,18169
36645.13,18171
38000.79,18173
28660.617,18175
36878.363,18177
33872.367,18179
38811.574,18181
37656.02,18183
27776.705,19001
26405.465,19003
30382.54,19005
27346.951,19007
36917.15,19009
31657.223,19011
41813.664,19013
35534.465,19015
32800.703,19017
34406.41,19019
35693.465,19021
33268.207,19023
34507.918,19025
33688.254,19027
33587.46,19029
28249.043,19031
36781.348,19033
36719.99,19035
31615.133,19037
33632.965,19039
37305.64,19041
28619.486,19043
36223.406,19045
38275.25,19047
44251.957,19049
27741.564,19051
22192.861,19053
30803.312,19055
44285.645,19057
31921.79,19059
39495.043,19061
35279.56,19063
30945.342,19065
41425.715,19067
38794.348,19069
37481.48,19071
33883.375,19073
38232.883,19075
36148.164,19077
38408.742,19079
39746.113,19081
39660.81,19083
30287.035,19085
37107.348,19087
32765.203,19089
32943.65,19091
40073.1,19093
36745.92,19095
26906.217,19097
39127.37,19099
29989.709,19101
41966.168,19103
30602.781,19105
26890.809,19107
47882.516,19109
37800.91,19111
47367.605,19113
33709.426,19115
28723.139,19117
35583.75,19119
39441.43,19121
33711.535,19123
39128.05,19125
43437.383,19127
35273.027,19129
36723.74,19131
31431.035,19133
37098.35,19135
34045.195,19137
44895.27,19139
32313.426,19141
43630.99,19143
34143.566,19145
39915.734,19147
37378.22,19149
36891.094,19151
51514.7,19153
39584.48,19155
37780.074,19157
22781.53,19159
37368.22,19161
41052.035,19163
33527.996,19165
36542.348,19167
46186.168,19169
35379.24,19171
34805.29,19173
32650.75,19175
29851.576,19177
36406.164,19179
29285.658,19181
32420.693,19183
23150.525,19185
40540.84,19187
39173.25,19189
38933.89,19191
38633.44,19193
30620.629,19195
43678.6,19197
29269.453,20001
23107.117,20003
30104.818,20005
29837.877,20007
33624.906,20009
27965.455,20011
32116.84,20013
30695.914,20015
18422.137,20017
18296.822,20019
28874.29,20021
27836.963,20023
23418.848,20025
25659.654,20027
28669.682,20029
39955.4,20031
31055.555,20033
33209.37,20035
32207.633,20037
28939.533,20039
31279.877,20041
37360.098,20043
33551.113,20045
39343.637,20047
23905.586,20049
31541.27,20051
29633.893,20053
36899.348,20055
36132.09,20057
31054.637,20059
55349.637,20061
26804.494,20063
26883.047,20065
40942.32,20067
32586.738,20069
37815.4,20071
31014.178,20073
36805.9,20075
31740.88,20077
30603.082,20079
46879.863,20081
23508.277,20083
22298.295,20085
25967.432,20087
25543.469,20089
51579.58,20091
36565.59,20093
25469.25,20095
33057.887,20097
29965.93,20099
26343.475,20101
43536.598,20103
24165.502,20105
26599.191,20107
31733.912,20109
33409.316,20111
35182.04,20113
29300.633,20115
34834.6,20117
36136.824,20119
30853.402,20121
32976.56,20123
35461.55,20125
28174.24,20127
41369.984,20129
31169.77,20131
32399.586,20133
33871.65,20135
34086.383,20137
21300.307,20139
27624.21,20141
23916.041,20143
31356.43,20145
29675.3,20147
27213.184,20149
33746.62,20151
22178.283,20153
34076.793,20155
25019.14,20157
29925.016,20159
36034.95,20161
34133.47,20163
29055.938,20165
32341.854,20167
39843.453,20169
30558.873,20171
49328.395,20173
38688.65,20175
43407.82,20177
41809.66,20179
34553.36,20181
29631.084,20183
31475.236,20185
38427.594,20187
41476.113,20189
33557.062,20191
