vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,diag_hat_pi,hatP,hatQ,real_v,var_hatB,L,R,A,w
13069,1.0011884282360648,0.9981141876616394,0.9963716942035585,1.0009386467492039,0.9892581492614181,0.9970189751313644,1.0008220989350505,0.9973069352553214,1.0001164520790233,-0.004283728733267489,22005,20882.04,0.8826489290145125,33276.89
13071,1.0011803259092806,0.990612779802468,0.9989388213183448,1.0028248307908965,0.9833143847728677,0.9896987707123157,1.0008723113404896,1.0017606544590267,1.0019508177299778,-0.0016493507489310777,21040,23845.51,0.8394354802368206,32144.3
13073,1.0016052627475969,1.0028316750501576,1.0092988177767266,1.0068459111698473,0.9668067015064519,0.9996869482943944,1.0005572061631458,1.016208387827058,1.0062852028529352,0.007010023182703662,47010,70407.2,0.7439483131038368,31195.4
13075,1.0012054942392468,0.9970602633737495,1.0082781330016355,1.0022086114614008,0.972169195390161,0.99602637637269,1.000859312776617,1.0105050276424627,1.001348140210676,0.004805485684521438,6323,8842.702,0.8774378109785951,33205.91
13077,1.001774188260908,0.9887138566512058,1.0064656629434388,1.009253836979868,0.9686319840433592,0.9839716831791099,1.000170015884187,1.0157793321141522,1.0090822769643324,0.005348554187195209,50180,78368.23,0.7503622257398426,32398.84
13079,1.001458774935008,0.9974236676468378,1.009783725484859,1.010754842370547,0.9609648602614224,0.9944466026713742,1.0004614123880446,1.0206437902807923,1.0102886826568678,0.008978137897243166,4225,7974.561,0.4174840696050664,19840.24
13081,1.0012855752743863,1.0024877752155965,0.9996340720987829,1.002292604578406,0.9837910135566821,1.0007103625695382,1.0006934648176236,1.001925837749207,1.0015980315821027,-0.0015869332038783712,11504,10570.42,0.8384395332382404,32418.98
13083,1.0014417204393293,0.991408522017485,1.007573014284017,1.008386800116974,0.9663623343691055,0.9890233743499183,1.0006379803074343,1.016023327758074,1.0077438793670004,0.006551559293423437,6012,10002.49,0.6248752772587067,27371.92
13085,1.0017323725993255,1.0069717365972841,1.0057219185516655,1.010960497110347,0.9667628312542361,1.0030777499548071,1.0004394626313406,1.0167451307337636,1.0105164129085173,0.005691927399290364,12170,13056.16,0.638782316208994,28739.93
13087,1.0011543374357106,0.9969225595158467,1.000385960671941,1.002860418117651,0.9812883835735013,0.9960994979492771,1.000878743133963,1.0032474827984907,1.0019799351292875,-0.0005521026278744179,14214,14797.73,0.8658134525049267,32638.95
13089,1.0019363653728934,1.0117706925810805,1.007888541280216,1.0069290995829503,0.9727375743274311,1.0026194149154068,0.9989064358768479,1.0148723013512613,1.0080314466079698,0.004611727058260517,461404,446949.0,1.070000696786206,47242.45
13091,1.0012974714114677,0.9951793298544054,1.0018724237782741,1.004869962337001,0.9775289964183416,0.9934735825618597,1.000725066301385,1.0067515047485542,1.0041418928886585,0.0010687016505668279,8985,10352.38,0.7144593286201568,28713.97
13093,1.0013166166643455,1.0035609162126733,1.0042604667260564,1.0030572999663518,0.9769831847990802,1.0015717155140003,1.0006545950053227,1.0073307922171864,1.002401133191235,0.0019880708936322877,5126,5440.845,0.8158346322125426,31961.37
13095,1.0011448213003091,1.0075250232305057,0.9986197460118983,0.9989424981219026,0.9893249024590813,1.0057113270040006,1.0005437234985959,0.9975637037549856,0.9983996447740492,-0.0036334744429192822,62128,45506.95,1.2027196484633385,42882.45
13097,1.0018329568795528,1.0033158262880721,1.0083727664881659,1.0110572687962642,0.9654876282565827,0.9961815618172811,0.9994527328402061,1.0195226152140582,1.0116108902149687,0.007074177497832179,60677,80528.49,0.6661315733625915,30967.63
13099,1.0011952198456258,1.0056225539884625,1.002774705592361,0.9987466113907403,0.9838867148531789,1.0043287547182582,1.0007656678390286,1.0015178391987178,0.9979824882955386,-0.0006480122835430535,6000,5516.079,1.1728295173877872,41051.0
13101,1.0011345208733373,0.9851679330662836,1.003799571184975,1.0123647005133678,0.9646296291943526,0.9844967424251696,1.000907113018802,1.0162112522581241,1.011447203587163,0.005850022673885125,1693,2925.525,0.403888311480208,18339.04
