,0
230,0.98096335
231,0.8156658
232,0.9491021
233,0.88241935
234,0.7120995
235,0.88071007
236,0.9646177
237,0.95572543
238,0.9062652
239,0.9208447
240,0.6147623
241,0.6097892
242,0.58064145
243,0.69840777
244,0.5471959
245,0.96063364
246,0.98684406
247,0.81207335
248,0.7410169
249,0.28085697
250,0.92397135
251,0.92103106
252,0.73102033
253,0.8465375
254,0.89589685
255,0.69056123
256,0.8869685
257,0.91557276
258,0.42278126
259,0.93282163
260,0.6152012
261,0.91473687
262,0.8132779
263,0.96347404
264,0.8766009
265,0.90223235
266,0.2871745
267,0.9763071
268,0.92513204
269,0.9717104
270,0.88006175
271,0.95537066
272,0.6673218
273,0.9025373
274,0.95428824
275,0.9001954
276,0.946683
277,0.9258886
278,0.9643219
279,0.88142186
280,0.9376363
281,0.9841235
282,0.8142869
283,0.96237904
284,0.96329206
285,0.9152553
286,0.94258446
287,0.8976311
288,0.85291195
289,0.9112302
290,0.83732
291,0.61619043
292,0.9418903
293,0.9500363
294,0.7982513
295,0.7631408
296,0.9465987
297,0.81942767
298,0.9272614
299,0.77349865
300,0.77618897
301,0.86689734
302,0.8242375
303,0.91323096
304,0.8799104
305,0.900715
306,0.76520485
307,0.74651897
308,0.778292
309,0.61809886
310,0.8105017
311,0.8192246
312,0.6442222
313,0.76862293
314,0.829752
315,0.7910258
316,0.8650902
317,0.29711503
318,0.85326034
319,0.7303186
320,0.9375744
321,0.6511372
322,0.97049785
323,0.86473393
324,0.7333151
325,0.79672873
326,0.90899354
327,0.7678277
328,0.8812001
329,0.80278397
330,0.8087823
331,0.8757049
332,0.81025
333,0.82497126
334,0.87055963
335,0.92260647
336,0.60239977
337,0.58635217
338,0.73923576
339,0.8189217
340,0.5924078
341,0.83905125
342,0.8344277
343,0.8380926
344,0.9493382
345,0.8216123
346,0.78479147
347,0.84126323
348,0.8041437
349,0.77282274
350,0.73035365
351,0.80701786
352,0.9440832
353,0.85669893
354,0.7573884
355,0.7195091
356,0.8330939
357,0.8471264
358,0.91266584
359,0.6369977
360,0.9030121
361,0.9288747
362,0.8259616
363,0.83799005
364,0.8624804
365,0.71261036
366,0.70764786
367,0.87854236
368,0.8095004
369,0.85579187
370,0.923818
371,0.87017095
372,0.7626624
373,0.8634214
374,0.8189496
375,0.7823145
376,0.65327066
377,0.5593348
378,0.77032185
379,0.9050792
380,0.53522563
381,0.92074245
382,0.8047028
383,0.7175277
384,0.719448
385,0.74681973
386,0.76206124
387,0.73942304
388,0.72940314
389,0.7608638
390,0.46717316
391,0.638432
392,0.69318014
393,0.737524
394,0.6980681
395,0.64345163
396,0.7665225
397,0.8519126
398,0.7766876
399,0.58318275
400,0.85208786
401,0.664342
402,0.57314146
403,0.7730258
404,0.8544579
405,0.71729857
406,0.7258744
407,0.56031114
408,0.6694964
409,0.7788627
410,0.4160322
411,0.7897971
412,0.7394964
413,0.6050289
414,0.7176318
415,0.4330206
416,0.7567645
417,0.618279
418,0.85764414
419,0.8918719
420,0.6034683
421,0.70021576
422,0.74433935
423,0.5957787
424,0.72053415
425,0.70419914
426,0.49497622
427,0.76859987
428,0.49332884
429,0.7678208
430,0.66406065
431,0.6408598
432,0.53097695
433,0.68264616
434,0.7851568
435,0.7587776
436,0.80894005
437,0.7505239
438,0.52712905
439,0.78016675
440,0.5052603
441,0.75847936
442,0.6136662
443,0.56413895
444,0.40987659
445,0.7882939
446,0.7426754
447,0.8018622
448,0.7408746
449,0.8157507
450,0.63083696
451,0.66909766
452,0.71209896
453,0.7153822
454,0.653561
455,0.5860199
456,0.5591352
457,0.79000515
458,0.5640686
459,0.6348454
460,0.7713491
461,0.5628973
462,0.6051975
463,0.7202485
464,0.7585208
465,0.746007
466,0.8207017
467,0.7179705
468,0.7046421
469,0.60165036
470,0.7890417
471,0.83045477
472,0.56573075
473,0.74392956
474,0.7128219
475,0.6834121
476,0.79746825
477,0.7461381
478,0.6943953
479,0.88417214
480,0.7082527
481,0.6934206
482,0.7187175
483,0.60614175
484,0.62718034
485,0.70398706
486,0.664902
487,0.6156415
488,0.5780616
489,0.6712553
490,0.6909463
491,0.6307448
492,0.5100311
493,0.77642983
494,0.67897624
495,0.43547127
496,0.69004303
497,0.7545256
498,0.6661044
499,0.72350687
500,0.6838818
501,0.71417594
502,0.6571374
503,0.7704712
504,0.8305837
505,0.58969426
506,0.43701228
507,0.6572618
508,0.80250573
509,0.72439176
510,0.59143126
511,0.712845
512,0.70099556
513,0.8213225
514,0.52615404
515,0.5052267
516,0.7387972
517,0.6497376
518,0.6441056
519,0.58951235
520,0.70983505
521,0.7123168
522,0.6756285
523,0.6799686
524,0.8494369
525,0.70948046
526,0.69502926
527,0.5084506
528,0.75675225
529,0.84490716
530,0.6532381
531,0.69319844
532,0.6490528
533,0.6379425
534,0.78343326
535,0.8545732
536,0.6670499
537,0.5368539
538,0.7169754
539,0.6600121
540,0.73377585
541,0.8316934
542,0.5551412
543,0.7235309
544,1.0
545,1.0
546,1.0
547,1.0
548,0.8502302
549,0.93727654
550,0.9361876
551,0.922438
552,0.77914375
553,0.82619137
554,0.908385
555,0.7542696
556,0.9248447
557,0.8203246
558,0.93830293
559,0.6801431
560,0.957541
561,0.82822275
562,0.81149733
563,0.7417936
