state_county_res,residence_emp
12047,5108.3535
12049,12206.569
12051,20306.621
12053,74739.086
12055,41612.043
12057,741226.3
12059,10483.188
12061,67176.29
12063,20745.354
12065,7340.962
12067,3191.7751
12069,150405.69
12071,323769.12
12073,170060.77
12075,19882.348
12077,4208.5327
12079,8694.105
12081,200407.75
12083,151764.28
12085,81470.4
12086,1394491.2
12087,54092.797
12089,41890.125
12091,117003.97
12093,15421.769
12095,696316.75
12097,136712.66
12099,777136.6
12101,222354.7
12103,573487.4
12105,303791.3
12107,30060.605
12109,99878.94
12111,132162.31
12113,82182.54
12115,211567.08
12117,271857.94
12119,23784.166
12121,18065.225
12123,9357.688
12125,4945.212
12127,251872.5
12129,16046.245
12131,28780.846
12133,11814.181
13001,8852.278
13003,3555.9644
13005,5352.525
13007,1585.0624
13009,23618.139
13011,10692.337
13013,39555.023
13015,59409.434
13017,9405.316
13019,9477.542
13021,81775.3
13023,7568.5815
13025,9204.483
13027,8804.364
13029,18820.387
13031,35816.773
13033,10292.274
13035,12420.315
13037,2858.502
13039,27675.857
13043,5711.303
13045,62087.684
13047,40847.82
13049,5451.2666
13051,151884.56
13053,8840.088
13055,12888.215
13057,129512.555
13059,64467.02
13061,1400.1074
13063,159855.97
13065,2950.6736
13067,465622.0
13069,20882.041
13071,23845.514
13073,70407.2
13075,8842.702
13077,78368.234
13079,7974.561
13081,10570.417
13083,10002.485
13085,13056.157
13087,14797.726
13089,446949.0
13091,10352.38
13093,5440.845
13095,45506.953
13097,80528.49
13099,5516.079
13101,2925.5247
13103,30030.781
13105,10800.345
13107,11340.196
13109,5333.4824
13111,12871.075
13113,69402.78
13115,49746.145
13117,87270.125
13119,12112.115
13121,545203.8
13123,15566.27
13125,1763.6383
13127,42750.797
13129,30461.314
13131,15125.611
13133,7493.8804
13135,470286.22
13137,20616.201
13139,97168.86
13141,3846.0784
13143,14006.565
13145,19237.412
13147,12798.925
13149,5930.6865
13151,120368.414
13153,77184.83
13155,4517.1313
13157,32819.12
13159,7738.017
13161,6921.6694
13163,8189.858
13165,4635.4175
13167,4704.7124
13169,16870.734
13171,9441.275
13173,4965.854
13175,25122.75
13177,17324.746
13179,35805.04
13181,4505.5415
13183,6754.8115
13185,56302.703
13187,16113.445
13189,11253.834
13191,6815.8022
13193,5938.9116
13195,15795.102
13197,4240.961
13199,11822.82
13201,3368.2273
13205,11436.22
13207,14392.669
13209,4646.5664
13211,10107.447
13213,21702.852
13215,98948.62
13217,49364.09
13219,18331.219
13221,8225.796
13223,90095.76
13225,12682.061
13227,15987.692
13229,10396.452
13231,10584.133
13233,21582.514
13235,5831.835
13237,11927.835
13239,1207.456
13241,8039.7036
13243,4051.1882
13245,103017.266
13247,48118.9
13249,2595.4172
13251,6563.775
13253,4456.8276
13255,34440.547
13257,13274.632
13259,2683.6863
13261,15763.285
13263,3501.1057
13265,899.5149
13267,11058.44
13269,3430.0608
13271,5888.721
13273,4351.7446
13275,24260.854
13277,20819.057
13279,13921.938
13281,5168.853
13283,3411.3406
13285,34832.008
13287,4409.737
13289,4060.3657
13291,11735.508
13293,13673.515
13295,36785.777
13297,45929.656
13299,16793.78
13301,3030.5356
13303,10022.759
13305,14141.864
13307,1358.415
13309,1981.5472
13311,15628.06
13313,57111.01
13315,3447.9797
13317,5203.896
13319,4404.029
13321,11307.336
15001,101671.0
15003,623309.0
15007,44097.0
16001,252718.88
16003,2956.2388
16005,48670.48
16007,3473.467
16009,4782.046
16011,25781.896
16013,20438.79
16015,3926.2383
16017,25419.324
16019,55853.18
16021,5903.1367
16023,6363.4688
16025,1004.7842
16027,104954.055
16029,4216.3906
16031,12287.056
16033,723.66797
16035,4729.7046
16037,3035.1633
16039,15202.433
16041,7011.887
16043,7568.5464
16045,10554.525
16047,9487.703
16049,9049.941
16051,14885.996
16053,12184.087
16055,83226.46
16057,24139.05
16059,4875.155
16061,2093.6902
16063,3568.1904
16065,18426.205
16067,11463.693
16069,23334.95
16071,2486.6304
16073,5153.7563
16075,12191.104
16077,4708.4834
16079,6510.6763
16081,7489.91
16083,45547.344
16085,7164.665
16087,4987.744
17001,41162.297
17003,3929.3826
17005,10031.164
17007,31223.713
17009,2970.294
17011,21637.516
17013,3139.3076
17015,9840.964
17017,8311.537
17019,117100.195
17021,20348.475
17023,10086.376
17025,8159.6655
17027,23781.48
17029,31558.758
17031,3111251.8
17033,10598.081
17035,7584.383
17037,66348.93
17039,10607.122
17041,12884.576
17043,607976.94
17045,10252.269
17047,4323.3647
17049,21373.469
17051,11477.067
17053,9053.728
17055,20156.88
17057,19111.404
17059,2945.135
17061,8078.218
17063,27707.76
17065,4761.558
17067,12953.072
17069,2167.9531
17071,4788.0415
17073,31552.096
