vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,diag_hat_pi,hatP,hatQ,real_v,var_hatB,L,R,A,w,s_i,lambda_nn_given_n
17131,1.0015516495855072,0.9798387406728247,1.0022337582710583,1.0074375175884371,0.97181184,0.9797375776231608,1.0015171801358667,1.0096878894759247,1.005911368841189,0.00427352,5693,10507,0.7644775418280632,30531.88,0.15402029632193792,0.45335314
17133,1.0019227942372482,0.9883805288329557,1.0057190858928065,1.0119522123821993,0.9637372285966718,0.9857691560606505,1.0010396318483674,1.0177396540042287,1.0109012472500039,0.008080106,13487,21817.61,0.705549647,29243.42,0.23960400503149223,0.41379258
17135,1.0016140062622536,0.9898384488458984,0.9975747444800299,1.004115330582683,0.9823842772948213,0.9894454557829632,1.0014814326213133,1.0016800943345008,1.0026300017909227,-0.000532003,14333,14871.23,0.874680572,34158.86,0.14314460831251463,0.72181094
17137,1.0015749065829223,0.9952647153372336,0.997295589,1.0030317141205058,0.9840185046952861,0.9949995101679392,1.001485936470985,1.0003191041913126,1.0015434841301596,-0.001118236,19766,18979.89,1.0252029321091805,38179.45,0.19570675745732372,0.7847319
17139,1.0015487044639275,0.99178618,1.0008276760242998,1.003714435,0.9783468148375012,0.9917669375747166,1.0015422270481042,1.0045451849996143,1.0021688627000063,0.001748554,6583,7894.9,0.9336181397908304,35892.3,0.15175856179215727,0.56011254
17141,1.0016597426238376,0.9925215931638541,1.002303927835287,1.0014498189787244,0.9797306694031356,0.9921613841541188,1.0015385528100502,1.0037570870923127,0.9999114024806366,0.001742727,26363,32993.97,1.162646914758902,43223.04,0.18238288263726926,0.59034526
17143,1.0015310842893002,1.004593606011179,0.9968027524797031,1.0022498277269847,0.9857886458990959,1.0040709028199577,1.0013573509135267,0.9990453869505665,1.0008912670513117,-0.001848662,127686,104665.3,1.368924889733023,48678.33,0.2611644248700316,0.82084227
17145,1.0015957197637606,0.9910459513958875,1.000633480918809,1.0035491113592405,0.9791289737271962,0.9906347182360773,1.0014571636735259,1.0041848405723743,1.0020889038109637,0.00142524,8373,10303.41,0.7980174383423978,31732.71,0.1562765274706105,0.58975726
17147,1.0015446446955345,0.9847540835598039,1.009611180379949,1.004813957,0.9656979073063844,0.9847171881869575,1.0015321363867062,1.0144714048854877,1.0032767998084353,0.008563287,5986,10264.61,0.91236006,35545.11,0.24117682794849016,0.4460883
17149,1.0016006709424292,0.9877822899510552,0.9969934422288977,1.0029592532431009,0.9846156326486053,0.987406174,1.0014735288106387,0.9999437983061639,1.0014835383958942,-0.001404949,7176,9058.182,0.7791472930786983,30653.57,0.13137058185852615,0.70577204
