vbar_n,state_county_res
37604.21,6057
57107.12,6059
49411.51,6061
39078.67,6063
42517.68,6065
55697.35,6067
52672.94,6069
45136.23,6071
53295.43,6073
80806.36,6075
49587.09,6077
41931.88,6079
76691.41,6081
47355.47,6083
82912.91,6085
52174.97,6087
40537.07,6089
34588.41,6091
34810.43,6093
53155.28,6095
47536.07,6097
47418.76,6099
42743.81,6101
37642.03,6103
32853.79,6105
43850.21,6107
38290.68,6109
52470.0,6111
54294.27,6113
46113.06,6115
51465.75,8001
34164.96,8003
55970.1,8005
22190.93,8007
28910.45,8009
32969.43,8011
51215.88,8013
54983.51,8014
26192.87,8015
39526.75,8017
37324.3,8019
27853.73,8021
26177.06,8023
32289.91,8025
24157.42,8027
27459.85,8029
59446.46,8031
24303.59,8033
52262.25,8035
44079.7,8037
39631.71,8039
44900.8,8041
33608.33,8043
43032.65,8045
47238.07,8047
31760.77,8049
31661.24,8051
18620.41,8053
26109.88,8055
29377.62,8057
53856.66,8059
36377.1,8061
40022.45,8063
33494.59,8065
36401.71,8067
39990.6,8069
31813.32,8071
31411.77,8073
36511.95,8075
36884.74,8077
21491.6,8079
42072.35,8081
28401.5,8083
33064.14,8085
36427.67,8087
30296.36,8089
27798.13,8091
33556.69,8093
35953.26,8095
48089.05,8097
34060.38,8099
36888.8,8101
54729.36,8103
34277.32,8105
39222.66,8107
31249.67,8109
21026.62,8111
34807.56,8113
39200.44,8115
33928.98,8117
34089.2,8119
29930.7,8121
42184.15,8123
42498.79,8125
78717.96,9001
62511.94,9003
51165.38,9005
55741.18,9007
56623.0,9009
52446.47,9011
52928.27,9013
44999.93,9015
44128.82,10001
59476.38,10003
38359.22,10005
81596.1,11001
40911.36,12001
39814.93,12003
39323.23,12005
35614.75,12007
43747.04,12009
45124.64,12011
33087.79,12013
33897.01,12015
31619.31,12017
40985.52,12019
42546.47,12021
38218.35,12023
33450.91,12027
30123.96,12029
48098.06,12031
40878.48,12033
36624.68,12035
28672.32,12037
39055.74,12039
33615.81,12041
30293.84,12043
35406.88,12045
38560.68,12047
34340.49,12049
36758.28,12051
33083.43,12053
31720.12,12055
48065.53,12057
28341.45,12059
39269.47,12061
35050.8,12063
34680.33,12065
34781.66,12067
37769.63,12069
41026.07,12071
43415.5,12073
31982.93,12075
38378.06,12077
31863.02,12079
39081.57,12081
34002.16,12083
40553.41,12085
47822.52,12086
38502.99,12087
41612.54,12089
43816.47,12091
37621.01,12093
46673.46,12095
42160.81,12097
46364.63,12099
39999.0,12101
42404.02,12103
41004.12,12105
38487.01,12107
43632.38,12109
37870.45,12111
38315.53,12113
38798.17,12115
44718.01,12117
36409.74,12119
34483.55,12121
37990.54,12123
38835.8,12125
37690.36,12127
37960.67,12129
36671.79,12131
33645.35,12133
36721.75,13001
34217.72,13003
29659.96,13005
42455.22,13007
33568.08,13009
31924.05,13011
40150.02,13013
40627.25,13015
32568.12,13017
34633.83,13019
39548.94,13021
35653.13,13023
31893.69,13025
34260.98,13027
39667.03,13029
32604.47,13031
40859.06,13033
35898.89,13035
33680.65,13037
42291.23,13039
29708.29,13043
40022.94,13045
38468.47,13047
35739.06,13049
42636.36,13051
61719.49,13053
33780.98,13055
47377.88,13057
38591.43,13059
31226.83,13061
53218.32,13063
33049.95,13065
54950.22,13067
33152.92,13069
33089.86,13071
38583.0,13073
34200.71,13075
41674.39,13077
34275.66,13079
32999.0,13081
35893.03,13083
39752.93,13085
33734.41,13087
55202.7,13089
30990.63,13091
33241.28,13093
41473.51,13095
46369.88,13097
39289.03,13099
28067.77,13101
38648.41,13103
32822.04,13105
28600.89,13107
32878.12,13109
26542.64,13111
45517.85,13113
38000.3,13115
55296.48,13117
31624.12,13119
64392.18,13121
32112.88,13123
28687.76,13125
38688.38,13127
38225.73,13129
33087.54,13131
31727.52,13133
53485.13,13135
33727.96,13137
43055.87,13139
29442.34,13141
37324.79,13143
36614.32,13145
31994.19,13147
38132.71,13149
46081.67,13151
44275.95,13153
31597.6,13155
39172.4,13157
34943.31,13159
32684.06,13161
33868.62,13163
31573.88,13165
31644.66,13167
36119.65,13169
34995.72,13171
31251.33,13173
35514.02,13175
38545.54,13177
51214.24,13179
30484.09,13181
43422.95,13183
35848.82,13185
35805.18,13187
34416.76,13189
32253.49,13191
36018.34,13193
33527.95,13195
33467.22,13197
34606.66,13199
32818.41,13201
34092.02,13205
37791.13,13207
31274.29,13209
33285.55,13211
38175.72,13213
44025.93,13215
43521.88,13217
36329.37,13219
34894.95,13221
43539.86,13223
40509.56,13225
36721.49,13227
30395.68,13229
33433.39,13231
34971.95,13233
37176.94,13235
33683.74,13237
31990.35,13239
29684.77,13241
32450.12,13243
42380.67,13245
44774.88,13247
35109.54,13249
30915.16,13251
32507.01,13253
38178.39,13255
33757.7,13257
33515.57,13259
34932.36,13261
31524.97,13263
29221.74,13265
34209.54,13267
34996.41,13269
28172.95,13271
35031.89,13273
37761.54,13275
35147.05,13277
31931.42,13279
26403.56,13281
29305.5,13283
38353.5,13285
31146.89,13287
36025.52,13289
27252.98,13291
32391.88,13293
37576.2,13295
42958.45,13297
32769.89,13299
31766.94,13301
34596.0,13303
38421.2,13305
33072.13,13307
29790.11,13309
30717.42,13311
41974.44,13313
31219.82,13315
31464.29,13317
38354.02,13319
35833.2,13321
35716.97,15001
47923.9,15003
36467.7,15007
38673.48,15901
46040.84,16001
22590.36,16003
34568.0,16005
26595.5,16007
35526.32,16009
37537.98,16011
36957.47,16013
34007.56,16015
29942.34,16017
36623.59,16019
28348.24,16021
76010.95,16023
28961.45,16025
36843.09,16027
41540.0,16029
37708.96,16031
30842.99,16033
30231.88,16035
35614.24,16037
41919.63,16039
28336.54,16041
29527.41,16043
30604.48,16045
44323.66,16047
26303.31,16049
35495.93,16051
40807.93,16053
35688.8,16055
32755.71,16057
24342.06,16059
28473.02,16061
38695.64,16063
30628.54,16065
35868.81,16067
38185.86,16069
26248.55,16071
37318.85,16073
31719.65,16075
42031.66,16077
35565.17,16079
35218.17,16081
35659.04,16083
29924.81,16085
26849.18,16087
36506.47,17001
35695.05,17003
34970.84,17005
46200.55,17007
38068.1,17009
38607.88,17011
29225.57,17013
34471.58,17015
35527.2,17017
41643.86,17019
40029.21,17021
35031.45,17023
31982.7,17025
35913.46,17027
35913.45,17029
60569.07,17031
40864.14,17033
31929.67,17035
42322.83,17037
44935.0,17039
38966.92,17041
59971.5,17043
37105.16,17045
31792.81,17047
35097.2,17049
30687.56,17051
39393.71,17053
33689.43,17055
36332.09,17057
36040.93,17059
32353.79,17061
48134.69,17063
30948.39,17065
33081.86,17067
28168.78,17069
35756.94,17071
38705.3,17073
34827.89,17075
35784.78,17077
33391.3,17079
37173.3,17081
36842.64,17083
33360.41,17085
31250.56,17087
50721.38,17089
41002.31,17091
50198.86,17093
37805.71,17095
62068.13,17097
40981.79,17099
35964.74,17101
39998.95,17103
43382.74,17105
