state_county_work,workplace_emp
21141,13233
21143,3398
21145,48969
21147,4508
21149,3130
21151,41057
21153,3750
21155,10664
21157,16125
21159,3583
21161,12681
21163,7123
21165,1877
21167,10874
21169,4299
21171,5384
21173,14254
21175,4954
21177,12826
21179,20204
21181,2278
21183,10160
21185,20918
21187,3389
21189,1349
21191,4360
21193,16274
21195,30288
21197,4479
21199,33818
21201,843
21203,5324
21205,12967
21207,8974
21209,29022
21211,20399
21213,11683
21215,3497
21217,14700
21219,4283
21221,6087
21223,2356
21225,7433
21227,71874
21229,5445
21231,8183
21233,5255
21235,14976
21237,2077
21239,15888
22001,25331
22003,12940
22005,72146
22007,7370
22009,16749
22011,13315
22013,6330
22015,62051
22017,161864
22019,109056
22021,4079
22023,4129
22025,4264
22027,6193
22029,8053
22031,9556
22033,302238
22035,3015
22037,8207
22039,11554
22041,9257
22043,5558
22045,44000
22047,17633
22049,5744
22051,262607
22053,12373
22055,170859
22057,58874
22059,5657
22061,23750
22063,36762
22065,4550
22067,10716
22069,19337
22071,221113
22073,91601
22075,18853
22077,8820
22079,78669
22081,3371
22083,8395
22085,8371
22087,14181
22089,30423
22091,4442
22093,8842
22095,20351
22097,33848
22099,16132
22101,34520
22103,115100
22105,56965
22107,2467
22109,63555
22111,7515
22113,20446
22115,27159
22117,17147
22119,18387
22121,13897
22123,4459
22125,6724
22127,6728
23001,65108
23003,41414
23005,228683
23007,17669
23009,37744
23011,78571
23013,28420
23015,19793
23017,25774
23019,94160
23021,8731
23023,21706
23025,25341
23027,17855
23029,17616
23031,100170
24001,38726
24003,364853
24005,519761
24009,34524
24011,14298
24013,84811
24015,41189
24017,61280
24019,17188
24021,131030
24023,21135
24025,118745
24027,189012
24029,13704
24031,658572
24033,441352
24035,23113
24037,61340
24039,11293
24041,28963
24043,80368
24045,59849
24047,34412
24510,395721
25001,143309
25003,84948
25005,279585
25007,14856
25009,404189
25011,40435
25013,248914
25015,87274
25017,1075733
25019,10925
25021,430872
25023,258669
25025,696766
25027,424916
26001,3709
26003,4082
26005,59550
26007,16771
26009,11462
26011,9095
26013,4601
26015,26203
26017,50009
26019,8842
26021,87786
26023,21288
26025,70054
26027,16977
26029,14827
26031,12889
26033,18453
26035,13239
26037,31446
26039,6831
26041,20113
26043,17696
26045,43957
26047,24027
26049,204128
26051,7014
26053,8014
26055,67001
26057,19793
26059,21187
26061,17186
26063,18616
26065,201013
26067,23801
26069,11012
26071,5515
26073,40599
26075,74037
26077,152119
26079,5696
26081,421892
26083,744
26085,3598
26087,33964
26089,10210
26091,43274
26093,74383
26095,2632
26097,6723
26099,408952
26101,11669
26103,36095
26105,15155
26107,19263
26109,11318
26111,47914
26113,5783
26115,59499
26117,21244
26119,3694
26121,84159
26123,17373
26125,911065
26127,10891
26129,9316
26131,3156
26133,8247
26135,3663
26137,14757
26139,140730
26141,4750
26143,8240
26145,109744
26147,68979
26149,29975
26151,18496
26153,3587
26155,23934
26157,17769
26159,29608
26161,241513
26163,947922
26165,18502
27001,7906
27003,163193
27005,22616
27007,26420
27009,27072
27011,3189
27013,50421
27015,19651
27017,18421
27019,51305
27021,21328
27023,9404
27025,22122
27027,26933
27029,4628
27031,4331
27033,8430
27035,35963
27037,236572
27039,10148
27041,26265
27043,8879
27045,12087
27047,18484
27049,29534
27051,3737
27053,1062799
27055,9213
27057,7366
27059,21714
27061,23138
27063,7656
27065,7245
27067,30254
27069,2733
27071,6971
27073,4747
27075,6951
27077,2569
27079,15158
27081,3434
27083,19903
27085,24263
27087,2945
27089,5021
27091,13983
27093,13115
27095,12756
27097,17387
27099,22090
27101,5189
27103,17708
27105,14796
27107,3823
27109,112077
27111,35164
27113,11965
27115,11623
27117,6648
27119,17649
27121,6887
27123,407025
27125,1643
27127,9739
27129,8420
27131,30835
27133,5374
27135,12276
27137,123234
27139,57765
27141,33965
27143,5940
27145,102358
27147,26628
27149,6783
27151,6083
27153,11206
27155,2276
27157,9865
27159,7465
27161,10636
27163,97976
27165,5981
27167,3289
27169,32507
27171,54508
27173,6052
28001,17803
28003,17523
28005,5709
28007,8347
28009,2432
28011,16883
28013,5929
28015,2649
28017,8546
28019,3545
28021,4732
28023,5344
28025,9122
28027,12210
28029,12131
28031,8700
28033,70080
28035,54302
28037,2577
28039,7757
28041,4267
28043,13868
28045,22733
28047,120855
28049,175072
28051,6663
28053,4410
28055,730
28057,8808
28059,64842
28061,6492
28063,2009
28065,4107
28067,39921
28069,3361
28071,27538
28073,22845
28075,47696
28077,4938
28079,8569
28081,63283
28083,20186
28085,16776
28087,35476
28089,60800
28091,11657
28093,10206
28095,14930
28097,4044
28099,18179
28101,9161
28103,4641
28105,26319
28107,16121
28109,19534
28111,4231
28113,20413
28115,16155
28117,10150
28119,2746
28121,79092
28123,15541
28125,2302
28127,10968
28129,4971
28131,5632
28133,13204
28135,4606
28137,9584
28139,10004
28141,7579
28143,16584
28145,12381
28147,5316
28149,29987
28151,26240
28153,8443
28155,3484
28157,2961
28159,8259
28161,4768
28163,9639
29001,15736
29003,6533
29005,3177
29007,15036
29009,23163
29011,7322
29013,8156
29015,7679
29017,4755
29019,111911
29021,59543
29023,25358
29025,5246
29027,21116
29029,29409
29031,55320
29033,5575
29035,2489
29037,38750
29039,6972
29041,5101
29043,30888
29045,3430
29047,124209
29049,7412
29051,65957
29053,9597
29055,11344
29057,3983
29059,7837
29061,4220
29063,5121
29065,7076
29067,8244
29069,13309
29071,51934
29073,8960
29075,3862
29077,206250
29079,5564
29081,5075
29083,11523
29085,2684
29087,2525
29089,4541
29091,23178
29093,4508
29095,463523
29097,78650
29099,77424
29101,30427
29103,2347
29105,19250
29107,14724
29109,14774
29111,4442
29113,18062
29115,6870
29117,9242
29119,10692
29121,8292
29123,5117
29125,5198
29127,18230
29129,1756
29131,11424
29133,5573
29135,6981
29137,4875
29139,6046
29141,7096
29143,9840
29145,27166
29147,13481
29149,5011
29151,6652
29153,3516
29155,7899
29157,12550
29159,26027
29161,24264
29163,8648
29165,51438
29167,13084
29169,28533
29171,2469
29173,4415
29175,14278
29177,10209
29179,2618
29181,4971
29183,167817
29185,3774
29186,8179
29187,30930
29189,778906
29195,12731
29197,1738
29199,2565
29201,19760
29203,3396
29205,3367
29207,15454
29209,15580
29211,3801
29213,34017
29215,9658
29217,11070
29219,10657
29221,6605
29223,3842
29225,12187
29227,1127
29229,6866
29510,277982
30001,5768
30003,6368
30005,2957
30007,2282
30009,5408
30011,810
30013,50504
30015,2806
30017,7309
30019,1317
30021,5468
30023,4672
30025,2086
30027,7636
30029,62232
30031,68052
30033,796
30035,6209
30037,544
30039,1860
30041,10309
30043,5756
30045,954
30047,14336
30049,44760
30051,1014
30053,9623
30055,1233
30057,6261
30059,1131
30061,2106
30063,77642
30065,2009
30067,10132
30069,367
30071,2580
30073,3156
30075,1089
30077,3534
30079,618
30081,20202
30083,7204
30085,5255
30087,5862
30089,5840
30091,2417
30093,20003
30095,5293
30097,2882
30099,3655
30101,3371
30103,399
30105,4582
30107,1055
30109,661
30111,101917
31001,21185
31003,4683
31005,314
31007,447
31009,411
31011,3616
31013,7356
31015,1201
31017,2162
31019,34568
31021,3519
31023,4433
31025,9849
31027,5308
31029,2682
31031,3852
31033,7987
31035,3974
31037,6393
31039,6151
31041,7187
31043,13648
31045,5606
31047,15125
31049,1120
31051,3136
31053,22229
31055,399824
31057,1200
31059,3874
31061,1664
31063,1666
31065,2692
31067,14769
31069,1342
31071,1498
31073,909
31075,476
31077,1422
31079,41646
31081,5425
31083,1826
31085,639
31087,1531
31089,7342
31091,674
31093,3043
31095,5107
31097,2958
31099,3368
31101,5291
31103,553
31105,2560
31107,4412
31109,204327
31111,22977
31113,457
31115,343
31117,290
31119,27512
31121,3575
31123,2802
31125,1868
31127,4984
31129,2738
31131,9491
31133,1613
31135,2060
31137,6416
31139,3586
31141,24323
31143,2774
31145,7207
31147,4303
31149,1050
31151,8726
31153,79729
31155,7899
31157,23903
31159,9202
31161,3081
31163,1657
31165,725
31167,2470
31169,3500
31171,505
31173,3401
31175,2833
31177,10996
31179,6273
31181,1711
31183,621
31185,9932
32001,22215
32003,1172631
32005,32581
32007,25806
32009,448
32011,5518
32013,9992
32015,3308
32017,2140
32019,18634
32021,2484
32023,18570
32027,2406
32029,3371
32031,284906
32033,5214
32510,42933
33001,40275
33003,32547
33005,47856
33007,19648
33009,71369
33011,260125
33013,97259
33015,196482
33017,61843
33019,21471
34001,185663
34003,611256
34005,273939
34007,271809
34009,63130
34011,75487
34013,469702
34015,131355
34017,309974
34019,77410
34021,264486
34023,509699
34025,359334
34027,388632
34029,222736
34031,235676
34033,30611
34035,224927
34037,63867
34039,298781
34041,50511
35001,438743
35003,1703
35005,31023
35006,11119
35007,8146
35009,24193
35011,956
35013,90019
35015,29200
35017,14708
35019,2082
35021,712
35023,2287
35025,35456
35027,11731
35028,20840
35029,10446
35031,31516
35033,2065
35035,28646
35037,4483
35039,17915
35041,8910
35043,40763
35045,65875
35047,13172
35049,93595
35051,4823
35053,8600
35055,18914
35057,5820
35059,2379
35061,23673
36001,274390
36003,21121
36005,337063
36007,119062
36009,41671
36011,37061
36013,72476
36015,49109
36017,24336
36019,44352
36021,32391
36023,25085
36025,28095
36027,153605
36029,555083
36031,22055
36033,24355
36035,27580
36037,30765
36039,21149
36041,2799
36043,24733
36045,70950
36047,733121
36049,11104
36051,29659
36053,31558
36055,476242
36057,23414
36059,817931
36061,2803238
36063,90960
36065,136824
36067,308268
36069,66408
36071,179989
36073,15477
36075,44491
36077,30914
36079,40665
36081,739984
36083,70623
36085,138357
36087,153306
36089,49803
36091,109656
36093,74655
36095,13036
36097,9312
36099,16582
36101,48574
36103,813672
36105,36462
36107,19838
36109,67148
36111,87369
36113,46165
36115,22352
36117,37671
36119,578831
36121,18308
36123,9284
37001,83090
37003,16319
37005,6173
37007,10802
37009,14603
37011,13222
37013,24736
37015,9073
37017,17936
37019,45832
37021,160955
37023,51810
37025,93488
37027,37835
37029,3573
37031,37403
37033,5836
37035,105367
37037,38860
37039,13783
37041,7994
37043,3989
37045,47171
37047,25025
37049,63354
37051,202107
37053,9346
37055,29937
37057,74797
37059,17308
37061,26888
37063,231779
37065,27237
37067,235340
37069,22510
37071,98895
37073,2648
37075,4235
37077,26523
37079,9463
37081,351768
37083,23738
37085,42927
37087,27530
37089,50994
37091,11925
37093,13571
37095,3087
37097,85761
37099,23494
37101,72486
37103,3031
37105,35432
37107,34931
37109,28755
37111,21345
37113,18368
37115,8281
37117,11863
37119,712697
37121,7564
37123,13382
37125,45149
37127,54670
37129,135603
37131,8125
37133,103210
37135,80595
37137,4919
37139,23980
37141,16934
37143,3900
37145,14973
37147,91489
37149,8417
37151,65257
37153,19525
37155,54631
37157,40353
37159,57978
37161,29144
37163,26012
37165,17703
37167,27560
37169,13292
37171,42031
37173,7614
37175,15612
37177,1685
37179,79479
37181,19569
37183,571974
37185,5224
37187,5022
37189,31771
37191,60414
37193,32975
37195,47015
37197,14528
37199,7357
38001,1833
38003,7801
38005,3389
38007,790
38009,4448
38011,2402
38013,1609
38015,65226
38017,119373
38019,3103
38021,3752
38023,1518
38025,1851
38027,1449
38029,2298
38031,2443
38033,1208
38035,52132
38037,1653
38039,1945
38041,1690
38043,1808
38045,2518
38047,1510
38049,2820
38051,1998
38053,4402
38055,5284
38057,6454
38059,11680
38061,3438
38063,2110
38065,1163
38067,5538
38069,3062
38071,8085
38073,3529
38075,1585
38077,10923
38079,6575
38081,3377
38083,853
38085,2042
38087,514
38089,17363
38091,1283
38093,14336
38095,1800
38097,4528
38099,7591
38101,41660
38103,3105
38105,15100
39001,12624
39003,67946
39005,27838
39007,47449
39009,29984
39011,26310
39013,32471
39015,16902
39017,191579
39019,12031
39021,17117
39023,66828
39025,88713
39027,32662
39029,45480
39031,19841
39033,21073
39035,920571
39037,27980
39039,23232
39041,106557
39043,48646
39045,61655
39047,16505
39049,855192
39051,27687
39053,16822
39055,52740
39057,99989
39059,21031
39061,626196
39063,54819
39065,13055
39067,5105
39069,15248
39071,16947
39073,10367
39075,26988
39077,30712
39079,15469
39081,31980
39083,29713
39085,126107
39087,19330
39089,75997
39091,25674
39093,130264
39095,273923
39097,20410
39099,135493
39101,35959
39103,85216
39105,6249
39107,23470
39109,54173
39111,6463
39113,326514
39115,5007
39117,11180
39119,45462
39121,4866
39123,20115
39125,8136
39127,8990
39129,20517
39131,13491
39133,76792
39135,15709
39137,15857
39139,69308
39141,34704
39143,33197
39145,32654
39147,27551
39149,36503
39151,210819
39153,342914
39155,100931
39157,45665
39159,33130
39161,14971
39163,3560
39165,102759
39167,33611
39169,60587
39171,22055
39173,77437
39175,11501
40001,9409
40003,2893
40005,7037
40007,3792
40009,13900
40011,6315
40013,22907
40015,11977
40017,42810
40019,32092
40021,22386
40023,7538
40025,1998
40027,114518
40029,2473
40031,66121
40033,3285
40035,9700
40037,30244
40039,16661
40041,15469
40043,3003
40045,2553
40047,37148
40049,16098
40051,22410
40053,2778
40055,2407
40057,1569
40059,1992
40061,6606
40063,5834
40065,15940
40067,2357
40069,4792
40071,28642
40073,9197
40075,4323
40077,6402
40079,20790
40081,14502
40083,19150
40085,5450
40087,12323
40089,16208
40091,7980
40093,4995
40095,6865
40097,17712
40099,7590
40101,39861
40103,6785
40105,4145
40107,4674
40109,532156
40111,15722
40113,19087
40115,16200
40117,6215
40119,48371
40121,24683
40123,24564
40125,32006
40127,5318
40129,2000
40131,42269
40133,11593
40135,15937
40137,24357
40139,12815
40141,3660
40143,445827
40145,13292
40147,27539
40149,4645
40151,5486
40153,14226
41001,8914
41003,55068
41005,227622
41007,24223
41009,16702
41011,33036
41013,10885
41015,11478
41017,101571
41019,55012
41021,1367
41023,4169
41025,4265
41027,15547
41029,119924
41031,8924
41033,39620
41035,34484
41037,4288
41039,205468
41041,27070
41043,55579
41045,17375
41047,178532
41049,5796
41051,580427
41053,27257
41055,1295
41057,13751
41059,39337
41061,15418
41063,4731
41065,13731
41067,301083
41069,744
41071,45966
42001,53396
42003,864857
42005,30715
42007,75738
42009,24195
42011,225128
42013,75269
42015,31634
42017,367322
42019,104502
42021,76652
42023,3117
42025,24600
42027,107873
42029,330501
42031,21820
42033,41256
42035,18881
42037,36390
42039,45577
42041,159407
42043,223493
42045,287194
42047,19776
42049,162881
42051,60059
42053,3251
42055,76610
42057,7735
42059,17747
42061,19199
42063,47246
42065,22964
42067,11608
42069,129488
42071,304638
42073,41780
42075,63015
42077,222289
42079,174996
42081,67879
42083,23072
42085,63774
42087,22402
42089,80446
42091,613377
42093,20111
42095,129864
42097,40294
42099,13443
42101,764648
42103,18553
42105,9103
42107,67104
42109,22246
42111,35903
42113,2916
42115,16767
42117,18885
42119,22100
42121,26156
42123,21029
42125,104369
42127,21430
42129,177991
42131,12342
42133,226545
44001,23132
44003,103541
44005,55166
44007,358478
44009,73482
45001,11065
45003,83429
45005,5131
45007,85989
45009,7349
45011,9018
45013,99043
45015,65597
45017,8507
45019,286739
45021,25358
45023,13781
45025,18842
45027,12170
45029,16224
45031,28593
45033,12271
45035,37522
45037,8441
45039,8781
45041,84449
45043,37345
