NAME,state,county,pct_bachelors_plus
"Talbot County, Georgia",13,263,10.9
"Taliaferro County, Georgia",13,265,6.8
"Tattnall County, Georgia",13,267,11.9
"Taylor County, Georgia",13,269,7.4
"Telfair County, Georgia",13,271,8.1
"Terrell County, Georgia",13,273,9.9
"Thomas County, Georgia",13,275,19.6
"Tift County, Georgia",13,277,16.3
"Toombs County, Georgia",13,279,14.3
"Towns County, Georgia",13,281,20.8
"Treutlen County, Georgia",13,283,9.9
"Troup County, Georgia",13,285,19.4
"Turner County, Georgia",13,287,13.2
"Twiggs County, Georgia",13,289,6.7
"Union County, Georgia",13,291,21.6
"Upson County, Georgia",13,293,11.3
"Walker County, Georgia",13,295,12.8
"Walton County, Georgia",13,297,17.3
"Ware County, Georgia",13,299,12.2
"Warren County, Georgia",13,301,4.7
"Washington County, Georgia",13,303,10.7
"Wayne County, Georgia",13,305,10.9
"Webster County, Georgia",13,307,7.9
"Wheeler County, Georgia",13,309,8.6
"White County, Georgia",13,311,19.6
"Whitfield County, Georgia",13,313,15.1
"Wilcox County, Georgia",13,315,8.8
"Wilkes County, Georgia",13,317,15.5
"Wilkinson County, Georgia",13,319,12.1
"Worth County, Georgia",13,321,9.4
"Hawaii County, Hawaii",15,001,26.6
"Honolulu County, Hawaii",15,003,31.1
"Kalawao County, Hawaii",15,005,24.3
"Kauai County, Hawaii",15,007,22.7
"Maui County, Hawaii",15,009,25.7
"Ada County, Idaho",16,001,35.0
"Adams County, Idaho",16,003,21.3
"Bannock County, Idaho",16,005,27.3
"Bear Lake County, Idaho",16,007,16.7
"Benewah County, Idaho",16,009,12.1
"Bingham County, Idaho",16,011,15.9
"Blaine County, Idaho",16,013,43.2
"Boise County, Idaho",16,015,23.9
"Bonner County, Idaho",16,017,22.5
"Bonneville County, Idaho",16,019,26.2
"Boundary County, Idaho",16,021,12.9
"Butte County, Idaho",16,023,17.5
"Camas County, Idaho",16,025,22.6
"Canyon County, Idaho",16,027,16.7
"Caribou County, Idaho",16,029,16.2
"Cassia County, Idaho",16,031,15.7
"Clark County, Idaho",16,033,5.3
"Clearwater County, Idaho",16,035,14.4
"Custer County, Idaho",16,037,24.5
"Elmore County, Idaho",16,039,14.6
"Franklin County, Idaho",16,041,18.5
