376183	-249238	1.1e+06	-354678
376183	-249238	-167448	-806221
376183	-249238	1.6e+06	369094
376183	-249238	465585	-774623
376183	-249238	180381	-826736
376183	-249238	847214	-404333
376183	-249238	2.0e+06	810524
376183	-249238	2.0e+06	709682
376183	-249238	1.4e+06	728167
376183	-249238	1.5e+06	-402201
376183	-249238	1.4e+06	-145722
376183	-249238	688895	520848
376183	-249238	688895	520848
376183	-249238	981898	239102
376183	-249238	1.2e+06	537155
376183	-249238	1.1e+06	351022
376183	-249238	-138159	-1.1e+06
376183	-249238	-74542.9	-527711
376183	-249238	1.0e+06	315391
376183	-249238	1.7e+06	346832
376183	-249238	-761954	286830
376183	-249238	1.1e+06	613371
376183	-249238	-987176	-587359
376183	-249238	836609	657345
376183	-249238	1.4e+06	-36851.4
376183	-249238	1.2e+06	-208293
376183	-249238	1.9e+06	712584
376183	-249238	60956.1	-863814
376183	-249238	-1.5e+06	1.1e+06
376183	-249238	834045	297467
376183	-249238	325063	473089
376183	-249238	1.4e+06	-696811
376183	-249238	117577	181756
376183	-249238	121790	180212
376183	-249238	267422	-808344
376183	-249238	-348170	-1.1e+06
376183	-249238	-1.7e+06	16730.7
376183	-249238	-2.0e+06	-148521
376183	-249238	886054	132149
376183	-249238	2.1e+06	1.4e+06
376183	-249238	537270	-246426
376183	-249238	1.6e+06	-1.2e+06
376183	-249238	655141	648176
376183	-249238	215255	840176
376183	-249238	617576	-554017
376183	-249238	746472	-729339
376183	-249238	-1.1e+06	1.1e+06
376183	-249238	820313	-109574
376183	-249238	-323228	453980
376183	-249238	2.0e+06	890038
376183	-249238	-897374	-287041
376183	-249238	571370	-825014
376183	-249238	-1.9e+06	-179072
376183	-249238	1.8e+06	580653
376183	-249238	1.8e+06	572496
376183	-249238	-378807	1.1e+06
376183	-249238	-136422	-226572
376183	-249238	1.4e+06	-889236
376183	-249238	1.8e+06	467499
376183	-249238	1.8e+06	467499
376183	-249238	-1.5e+06	-328205
376183	-249238	1.3e+06	442625
376183	-249238	-2.1e+06	1.2e+06
376183	-249238	1.5e+06	-51025.5
376183	-249238	850874	-538779
376183	-249238	-1.4e+06	-276733
376183	-249238	-2.0e+06	172962
376183	-249238	-831504	272604
376183	-249238	1.9e+06	687140
376183	-249238	1.4e+06	-986643
376183	-249238	1.2e+06	-512943
376183	-249238	553262	370342
376183	-249238	830210	353257
376183	-249238	-213094	172243
376183	-249238	1.0e+06	101055
376183	-249238	365842	-691666
376183	-249238	1.6e+06	341740
376183	-249238	2.0e+06	808988
376183	-249238	706158	698815
376183	-249238	100818	1.0e+06
376183	-249238	312348	167716
376183	-249238	-1.7e+06	334010
376183	-249238	1.8e+06	493283
376183	-249238	1.8e+06	572496
376183	-249238	1.5e+06	-59367.5
376183	-249238	1.1e+06	402700
376183	-249238	-136422	-226572
376183	-249238	-1.9e+06	958504
376183	-249238	1.6e+06	569279
376183	-249238	1.4e+06	-303930
376183	-249238	845505	-180134
376183	-249238	-366977	-610969
376183	-249238	-1.3e+06	398575
376183	-249238	1.5e+06	130657
376183	-249238	-1.8e+06	1.4e+06
376183	-249238	577630	725419
376183	-249238	1.6e+06	162753
376183	-249238	1.5e+06	777389
376183	-249238	-2.2e+06	414561
376183	-249238	-1.3e+06	476396
376183	-249238	-241991	-898101
376183	-249238	-2.0e+06	-316655
376183	-249238	-2.2e+06	289706
376183	-249238	1.4e+06	-496185
376183	-249238	-2.0e+06	1.4e+06
376183	-249238	-311867	730537
376183	-249238	488192	139021
376183	-249238	499943	141579
376183	-249238	1.3e+06	-969133
376183	-249238	-1.4e+06	-480586
376183	-249238	644.165	-150804
376183	-249238	1.8e+06	1.0e+06
376183	-249238	1.8e+06	113114
376183	-249238	1.6e+06	319736
376183	-249238	1.5e+06	389107
376183	-249238	1.5e+06	279833
376183	-249238	1.3e+06	232471
